%xcoord,ycoord
695419.562539297,5456939.99999096
695436.750009404,5456978.00003736
695450.58167403,5456989.40063903
695457.375029526,5456994.99999091
695491.749987235,5457019.00004633
695515.875032555,5457019.0000464
695539.937500663,5457015.99996878
695540.748796145,5457015.83475958
695557.124985718,5457012.49997294
695570.874946501,5456994.99998423
695574.312457733,5456977.99999176
695574.312528892,5456947.00000039
695577.617206371,5456934.82273833
695584.62499921,5456909.00000404
695612.187529422,5456895.49998525
695625.93750823,5456919.50001736
695631.141886882,5456933.3783404
695636.250025094,5456947.00002982
695650.000041832,5456974.49999004
695653.437518407,5457002.00003287
695670.625042081,5457012.49999683
695675.882440862,5457008.21761082
695687.812495828,5456998.50004681
695694.687467634,5456977.99995726
695705.062505728,5456953.99998451
695718.812538891,5456939.99996963
695729.124970937,5456932.99995656
695731.231413827,5456928.81260495
695739.437456178,5456912.49998834
695735.99998728,5456898.99999714
695722.250031197,5456881.50003988
695708.499949084,5456864.5000283
695708.500008658,5456850.50004705
695712.106089515,5456841.58314399
695715.375008049,5456833.49995353
695715.374981515,5456816.49998806
695705.062470548,5456812.99996345
695698.125028174,5456833.49996956
695694.687478771,5456846.99998087
695670.62504355,5456850.5000388
695667.193154481,5456850.50003652
695649.999962275,5456850.50002519
695639.687510105,5456823.00001206
695639.687516347,5456802.50004339
695622.49995068,5456782.00001156
695617.048252894,5456779.23088405
695594.937494456,5456767.99997991
695594.93751252,5456754.4999499
695601.874948902,5456733.50002973
695622.499967363,5456727.00001495
695637.76562561,5456717.67412067
695639.687531103,5456716.50001539
695660.312483505,5456685.49997279
695687.812478647,5456675.49998344
695715.374998905,5456678.50000779
695718.170214727,5456680.53289706
695739.43745751,5456696.00002475
695756.624994922,5456712.99995282
695766.937465272,5456744.0000187
695764.557251847,5456760.61848527
695763.500017531,5456768.00000596
695753.187494235,5456795.50004824
695753.187490406,5456833.49995248
695760.062476814,5456857.50004551
695760.062476802,5456857.63772333
695760.062469649,5456884.99998592
695756.625039762,5456912.49998045
695756.624987584,5456950.49998368
695762.79195527,5456953.49002408
695777.249979096,5456960.4999656
695804.749995627,5456953.99998493
695832.312477116,5456936.50000105
695853.886039917,5456928.65505141
695859.812452783,5456926.49998695
695880.437499853,5456908.99999603
695897.625004841,5456891.99999231
695921.749961471,5456874.99996478
695934.239232571,5456871.82090857
695949.250046841,5456868.00001069
695983.624971353,5456853.99997835
696008.999977972,5456833.50003777
696015.528260648,5456820.32582473
696015.93749393,5456819.4999831
696075.062525554,5456812.49996724
696113.511563155,5456803.57808022
696120.312498518,5456801.99996031
696148.124993601,5456763.99997572
696177.060135928,5456728.42307702
696179.437541061,5456725.49996226
696221.187459102,5456680.49997879
696243.35760683,5456653.70442715
696255.937476282,5456638.49998566
696287.249965553,5456603.99995501
696308.157192697,5456577.68985813
696315.062533988,5456569.00002684
696311.624961528,5456534.49997101
696308.124999457,5456485.49998363
696306.635234393,5456480.68996769
696294.187530125,5456440.50000919
696263.077160837,5456391.71902714
696262.937455326,5456391.49996939
696231.624981798,5456336.00000259
696209.973948726,5456307.30482294
696200.31250934,5456294.50004892
696182.937478791,5456235.00004243
696182.937501187,5456213.09537621
696182.937529339,5456165.5000144
696196.812529349,5456116.9999792
696198.260423051,5456115.78617893
696217.687537329,5456099.50000995
696273.37494991,5456099.49995615
696292.237964846,5456098.4446855
696335.937505778,5456095.99996247
696363.74998305,5456103.00003862
